site	brand	banner_key	phash	src	landing_url	width	height	first_seen_ts_utc	last_seen_ts_utc	first_seen_date	last_seen_date	days_seen	times_seen	screenshot_path	notes	is_ad	ad_score	ad_reason	ad_id
news.mn	Facebook	news.mn:000eba54d259f00d	b54a075872731f9c	https://news.mn/wp-content/uploads/2025/10/News.mn-banner-copy-scaled.jpg	https://www.facebook.com/share/p/1BtjnPoPei/	970	142	2025-10-10T07:18:15+00:00	2025-10-13T01:06:48+00:00	2025-10-10	2025-10-13	2	14	C:\Scraper\banner_screenshots\2025-10-10\news_1760080649_5_027cd764.png	video_poster	1	9	large,std_size,ad_host/path,external_click,ad_word	000eba54d259f00d
news.mn	khanbank	news.mn:fb108df0dfb12701	90961aea7d3bc685	https://news.mn/wp-content/uploads/2025/09/2.-News-copy.jpg	https://www.khanbank.com/personal/news/intelligence/7657/	299	249	2025-10-10T07:18:15+00:00	2025-10-27T06:08:49+00:00	2025-10-10	2025-10-27	10	36	C:\Scraper\banner_screenshots\2025-10-10\news_1760080650_19_a319ba97.png	video_poster	1	6	large,std_size,external_click,ad_word	fb108df0dfb12701
news.mn	tdbm	news.mn:cfbac7875430079f	cb8a798794b4a5e1	https://news.mn/wp-content/uploads/2025/09/britto-News.mn-300x245-1.jpg	https://www.tdbm.mn/mn/news/brittobeleg	299	244	2025-10-10T07:18:15+00:00	2025-11-19T04:27:01+00:00	2025-10-10	2025-11-19	22	58	C:\Scraper\banner_screenshots\2025-10-10\news_1760080651_62_d480f558.png	video_poster	1	6	large,std_size,external_click,ad_word	cfbac7875430079f
news.mn	koreanair	news.mn:c91d416d34f4ef8c	8ffcf001670f981e	https://news.mn/wp-content/uploads/2025/04/250429_SELCXA-ULNSM-웹-배너_1920x280px.jpg	https://www.koreanair.com/	970	141	2025-10-10T07:18:15+00:00	2025-11-19T04:21:17+00:00	2025-10-10	2025-11-19	22	56	C:\Scraper\banner_screenshots\2025-10-10\news_1760080659_6_5d66d2ef.png	video_poster	1	6	large,std_size,external_click,ad_word	c91d416d34f4ef8c
news.mn	golomtbank	news.mn:adcb22788cc42717	d4606ebf50e00f9d	https://news.mn/wp-content/uploads/2025/09/300-250-1.png	https://www.golomtbank.com/%D1%85%D0%B0%D0%B4%D0%B3%D0%B0%D0%BB%D0%B0%D0%BC%D0%B6%D1%82%D0%B0%D0%B9-%D0%B0%D1%8F%D0%BB%D0%B0%D0%BB-1-3	299	249	2025-10-10T07:18:15+00:00	2025-10-27T06:08:49+00:00	2025-10-10	2025-10-27	10	34	C:\Scraper\banner_screenshots\2025-10-10\news_1760080659_20_882d8764.png	video_poster	1	6	large,std_size,external_click,ad_word	adcb22788cc42717
news.mn	mn	news.mn:ec884f0f30459f17	e42963362cc93b5e	https://news.mn/wp-content/uploads/2025/10/news-APT.jpg	https://news.mn/#	299	244	2025-10-10T07:18:15+00:00	2025-10-27T06:08:49+00:00	2025-10-10	2025-10-27	10	37	C:\Scraper\banner_screenshots\2025-10-10\news_1760080660_63_a5e6d8af.png	video_poster	1	4	large,std_size,ad_word	ec884f0f30459f17
news.mn	khanbank	news.mn:c8433cc435c72e1a	82a563ce7d16781b	https://news.mn/wp-content/uploads/2025/10/2.-News-copy.jpg	https://www.khanbank.com/personal/news/intelligence/7719/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExUVIxWXpUS1BzN0ZKazV2VgEez-kHbFeNbjSn0eGOkDsapuYRMlsOBPPLT9ZyNtn-whQeUttGL-SjQF3q6lA_aem_KpzcYpYpcIqXK05RXNLZcw	299	249	2025-10-10T07:18:15+00:00	2025-11-12T05:47:59+00:00	2025-10-10	2025-11-12	18	50	C:\Scraper\banner_screenshots\2025-10-10\news_1760080676_21_3e6134cc.png	video_poster	1	6	large,std_size,external_click,ad_word	c8433cc435c72e1a
bolor-toli.com	banner	bolor-toli.com:2e2260f37b2a8884	8aa98e3e2997319b	https://banner.bolor.net/files/39/176000355613.png	https://banner.bolor.net/pub/jump?t=9d7e5e05b41a98fae00c9c5dd2374b6c	1600	579	2025-10-10T07:18:45+00:00	2025-10-27T06:09:06+00:00	2025-10-10	2025-10-27	10	29	C:\Scraper\banner_screenshots\2025-10-10\bolortoli_1760080692_0_768ad86f.png	onpage	1	6	large,ad_host/path,external_click	2e2260f37b2a8884
bolor-toli.com	banner	bolor-toli.com:6a6c12659c196190	ad374a62e18d9d86	https://banner.bolor.net/files/37/175946518913.png	https://banner.bolor.net/pub/jump?t=2b2e518b872b6c6503324cb4eb3ff3b1	1600	579	2025-10-10T07:18:46+00:00	2025-10-17T03:48:52+00:00	2025-10-10	2025-10-17	5	17	C:\Scraper\banner_screenshots\2025-10-10\bolortoli_1760080700_0_56ee9faf.png	onpage	1	6	large,ad_host/path,external_click	6a6c12659c196190
gogo.mn	gogo	gogo.mn:d18061e430912938	cdb6b1bb6841e4c8	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/2b62cea9-f6f6-473f-a714-9558d3c805ed/68e61b64d45433074edd6424_compressed.webp	https://gogo.mn	1100	483	2025-10-10T07:19:17+00:00	2025-10-23T04:14:46+00:00	2025-10-10	2025-10-23	8	18	C:\Scraper\banner_screenshots\2025-10-10\gogo_1760080650_26_05c3810b.png	onpage	1	4	large,ad_host/path	d18061e430912938
gogo.mn	gogo	gogo.mn:73a6643142684fe9	c1f37e948183856f	https://exchange.boost.mn/ad/web/7dbe8f1f-2042-4ec2-a583-ae72994d07d4?config=eyJvZmZzZXQiOjIsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	263	270	2025-10-10T07:19:17+00:00	2025-11-19T04:27:52+00:00	2025-10-10	2025-11-19	22	58	C:\Scraper\banner_screenshots\2025-10-10\gogo_1760080651_35_020787f6.png	iframe	1	9	iframe,large,std_size,ad_host/path,ad_word	73a6643142684fe9
